"OBJECTID","SPDES_PERM","WCS_CLASS","DISTRICT_N","RECEIVING_","DETAIL_URL","geometry"
10808958,"NY0033588","07","SHARON SPRINGS STP","BRIMSTONE CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0033588",c(-74.6129206702947, 42.8021491919276)
10808930,"NY0262935","07","WINDHAM WASTEWATER TREATMENT FACILITY","BATAVIA KILL","https://extapps.dec.ny.gov/data/IF/SPDES/NY0262935",c(-74.2737633060393, 42.3029213321924)
10810137,"NY0263214","07","ASHLAND WASTEWATER TREATMENT PLANT","BATAVIA KILL","https://extapps.dec.ny.gov/data/IF/SPDES/NY0263214",c(-74.3477382695206, 42.2971200678194)
10808784,"NY0268313","01","MOHAWK INNOVATIVE TECHNOLOGY INC","LISHA KILL CK SUBTRIB","https://extapps.dec.ny.gov/data/IF/SPDES/NY0268313",c(-73.8402793048305, 42.7439736503203)
10804799,"NY0026557","07","PINE HILL WWTP","BIRCH CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0026557",c(-74.4637009759362, 42.122404391163)
10806444,"NY0084590","01","MOUNTAINSIDE FARMS","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0084590",c(-74.5533086678766, 42.3134766036784)
10805271,"NY0023019","07","ELMA SD #1 JERGE SUBDIVISION","BIG BUFFALO CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0023019",c(-78.6223816234131, 42.8494558661701)
10805272,"NY0032051","07","ELMA SD #4 BRIGGSWOOD","BIG BUFFALO CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0032051",c(-78.6494400424575, 42.8495323655139)
10805273,"NY0033995","07","ELMA SD #5 - ELMA MEADOWS SUBDIVISION","BIG BUFFALO CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0033995",c(-78.595781413843, 42.827511253733)
10808133,"NY0203360","07","TOWN OF ELMA SEWER DISTRICT NO 7 - POND BROOK TOWNHOMES","POND BK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0203360",c(-78.6346589468598, 42.83826152386)
10808576,"NY0090191","01","MOOG INC","SPRING BROOK TRIB 1","https://extapps.dec.ny.gov/data/IF/SPDES/NY0090191",c(-78.6548602498387, 42.8015837561415)
10810071,"NY0269328","07","SPRINGBROOK SHORES WWTP","TRIBUTARY #11 OF BUFFALO CREEK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0269328",c(-78.6599775438471, 42.8307431914416)
10805190,"NY0021857","07","ALDEN SD #2 STP","CAYUGA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0021857",c(-78.572171139889, 42.8851223754541)
10805220,"NY0108103","07","ECSD NO 3 - HOLLAND WATER RESOURCE RECOVERY FACILITY","CAZENOVIA CK E BR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0108103",c(-78.5489274845295, 42.6508828835624)
10806324,"NY0243493","07","KISSING BRIDGE SEWER DISTRICT #2","CAZENOVIA CK W BR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0243493",c(-78.6522433125347, 42.5996067996438)
10808448,"NY0258938","09","CREEKSIDE MOBILE HOME PARK LLC",NA,"https://extapps.dec.ny.gov/data/IF/SPDES/NY0258938",c(-78.5760627062089, 42.7017704221013)
10809650,"NY0028436","05","EAST AURORA WASTE WATER RESOURCE RECOVERY FACILITY","CAZENOVIA CK E BR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0028436",c(-78.6336318395063, 42.762939690522)
10809654,"NY0036714","07","CRANERIDGE SEWER DIST #1","CAZENOVIA CK W BR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0036714",c(-78.6523075234269, 42.6023450999782)
10810492,"NY0202673","01","SENECA PLATERS INC",NA,"https://extapps.dec.ny.gov/data/IF/SPDES/NY0202673",c(-78.6534406288537, 42.7909773944191)
10805225,"NY0031003","07","ViILLAGE OF AKRON WASTEWATER TREATMENT PLANT","MURDER CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0031003",c(-78.5050960611987, 43.0296135142836)
10805246,"NY0026514","05","BATAVIA - C STP","TONAWANDA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0026514",c(-78.2049907320329, 42.9912778905653)
10805247,"NY0002810","01","O-AT-KA MILK PRODUCTS COOP INC","TONAWANDA CK TR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0002810",c(-78.1619939571155, 42.9818411108049)
10806255,"NY0001899","01","NIAGARA SPECIALTY METALS INC","BEAVER MEADOW BK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0001899",c(-78.5157563928447, 43.0132774002114)
10806562,"NY0246077","01","FLYING J TRAVEL PLAZA #693","MURDER CREEK TRIB","https://extapps.dec.ny.gov/data/IF/SPDES/NY0246077",c(-78.4077360881134, 43.0048265736711)
10809044,"NY0108430","07","CORFU - V STP","MURDER CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0108430",c(-78.4137973465563, 42.9620306959399)
10809253,"NY0229725","01","L DIVER 1A BRINE DISPOSAL WELL","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0229725",c(-78.3130893886934, 43.0165679602948)
10809705,"NY0272086","07","VILLAGE OF CORFU WASTEWATER TREATMENT FACILITY (2)","MURDER CREEK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0272086",c(-78.413579906729, 42.962532406287)
10809956,"NY0110523","07","ALEXANDER - V STP","TONAWANDA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0110523",c(-78.252085550175, 42.9037336425616)
10810416,"NY0021849","05","ATTICA WASTEWATER TREATMENT PLANT","TONAWANDA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0021849",c(-78.2752299042915, 42.8705860951967)
10805191,"NY0020541","07","ALDEN STP","ELLICOTT CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0020541",c(-78.5093227718742, 42.907049052139)
10805196,"NY0202631","07","WILLIAMSVILLE - V SANITARY SEWER COLLECTION SYSTEM","ELLICOTT CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0202631",c(-78.7474335732222, 42.9690301919939)
10805300,"NY0160083","09","DARIEN LAKE THEME PARK AND RESORT","GROUNDWATER","https://extapps.dec.ny.gov/data/IF/SPDES/NY0160083",c(-78.3835813033395, 42.9274530013364)
10809785,"NY0228346","07","DARIEN WASTEWATER TREATMENT FACILITY","CROOKED CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0228346",c(-78.383364121913, 42.900670436465)
10805470,"NY0107255","07","HONEOYE LAKE COUNTY CONSOLIDATED SEWER DISTRICT","HONEOYE","https://extapps.dec.ny.gov/data/IF/SPDES/NY0107255",c(-77.5138257748569, 42.7915301840837)
10805919,"NY0228478","01","HEMLOCK LAKE - SHORELINE, OUTLET, DAM & COMPLEX","HEMLOCK OUTLET","https://extapps.dec.ny.gov/data/IF/SPDES/NY0228478",c(-77.6084981043838, 42.7750490372657)
10808859,"NY0246450","07","SPRINGWATER-T WWTP","SPRINGWATER","https://extapps.dec.ny.gov/data/IF/SPDES/NY0246450",c(-77.6001460616219, 42.6426834828342)
10805042,"NY0084689","01","MARKIN TUBING","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0084689",c(-78.0536784613336, 42.8433229401023)
10805048,"NY0021504","05","WARSAW STP","OATKA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0021504",c(-78.1360484406302, 42.7507403694943)
10805304,"NY0000779","03","LAPP INSULATORS LLC","OATKA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0000779",c(-78.0086186170165, 42.969690655143)
10805305,"NY0030546","05","LEROY - V WWTP","OAKTA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0030546",c(-77.9854673118493, 42.9904218601303)
10805321,"NY0035432","09","CALEDONIA FISH HATCHERY","SPRING CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0035432",c(-77.8594028709535, 42.9857015739854)
10808271,"NY0247308","01","PCORE ELECTRIC COMPANY INC","OATKA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0247308",c(-78.0066132968562, 42.9690500648495)
10809675,"NY0247197","07","PAVILION (HAMLET) SANITARY SEWAGE DISPOSAL SYSTEM","OATKA CREEK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0247197",c(-78.0279664965802, 42.8763554475674)
10809915,"NY0271993","01","SUIT-KOTE CALEDONIA",NA,"https://extapps.dec.ny.gov/data/IF/SPDES/NY0271993",c(-77.9077950358231, 42.9793669808028)
10810399,"NY0247189","01","LEROY STONE QUARRY",NA,"https://extapps.dec.ny.gov/data/IF/SPDES/NY0247189",c(-77.9412899567553, 42.9863801806992)
10805295,"NY0110434","07","VILLAGE OF BERGEN SEWAGE TREATMENT PLANT","MINNY CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0110434",c(-77.9329123129573, 43.0930749400942)
10805297,"NY0078794","01","NORTERA FOODS USA INC - BERGEN FACILITY","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0078794",c(-77.9498892485713, 43.0849888183303)
10805299,"NY0160971","07","BYRON SD STP","BLACK CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0160971",c(-78.066936535227, 43.0828634832784)
10808161,"NY0228877","01","BATAVIA BULK PLANT","HORSESHOE L TR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0228877",c(-78.1340368309649, 43.0064790862546)
10807085,"NY0109053","09","SALMON RIVER FISH HATCHERY","BEAVERDAM BK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0109053",c(-75.9931853204818, 43.5101434670899)
10804898,"NY0034771","07","VILLAGE OF ADAMS WWTF","SANDY CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0034771",c(-76.0343612170913, 43.8087014592134)
10804899,"NY0215775","01","GREAT LAKES CHEESE OF NEW YORK INC","SANDY CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0215775",c(-76.0289133453544, 43.812190080005)
10804820,"NY0025151","05","WEST CARTHAGE WATER POL CTRL FAC","BLACK R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0025151",c(-75.6279308077351, 43.9830418873038)
10804897,"NY0000957","01","KNOWLTON TECHNOLOGIES LLC","BLACK R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0000957",c(-75.9068298387444, 43.975604583899)
10805112,"NY0020931","07","DEFERIET SEWAGE TREATMENT PLANT","BLACK R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0020931",c(-75.6805491600369, 44.041338254716)
10805114,"NY0257826","01","Lydall Performance Materials (US), Inc. - BEAVER FALLS","BEAVER R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0257826",c(-75.4361012983262, 43.8868624079167)
10805115,"NY0206768","07","CROGHAN STP","BEAVER R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0206768",c(-75.3966429459134, 43.8954213003814)
10805117,"NY0030341","07","PORT LEYDEN STP","BLACK R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0030341",c(-75.3428148547213, 43.5883943075754)
10805118,"NY0020125","05","LOWVILLE MUNICIPAL POLL CTRL FAC","MILL CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0020125",c(-75.4764439628684, 43.7834240272685)
10805119,"NY0002372","03","LYONSDALE PAPER MILL","MOOSE R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0002372",c(-75.305570895176, 43.6188666546825)
10805121,"NY0110418","07","CONSTABLEVILLE STP","SUGAR R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0110418",c(-75.4225634890842, 43.5649587403885)
10805788,"NY0236101","01","BEAVER FALLS LLC","BEAVER R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0236101",c(-75.4343393572192, 43.8863877374528)
10805825,"NY0215872","01","CARTHAGE ENERGY COGEN FACILITY","BLACK RIVER","https://extapps.dec.ny.gov/data/IF/SPDES/NY0215872",c(-75.6226547269916, 43.9852766278437)
10806424,"NY0021351","07","OLD FORGE SEWER DISTRICT WASTEWATER TREATMENT PLANT","MOOSE R MDL BR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0021351",c(-74.9840055759, 43.7022796126004)
10806599,"NY0236306","07","HERRINGS WASTEWATER TREATMENT FACILITY","BLACK R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0236306",c(-75.66042388187, 44.0219943724044)
10806638,"NY0236756","07","FORESTPORT SEWAGE TREATMENT PLANT","BLACK R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0236756",c(-75.2089556302954, 43.4430690064193)
10807314,"NY0002755","03","OMNIA Advanced Materials LLC","BEAVER R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0002755",c(-75.4307937862892, 43.8849965877353)
10808363,"NY0257869","01","CLOSED LANDFILL","BLACK RIVER","https://extapps.dec.ny.gov/data/IF/SPDES/NY0257869",c(-75.6831287004069, 44.0370701745826)
10808991,"NY0257737","07","LYONS FALLS WASTEWATER TREATMENT FACILITY","BLACK R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0257737",c(-75.3649731948103, 43.6249765331907)
10809573,"NY0020494","05","BOONVILLE WWTP","MILL CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0020494",c(-75.3296938133671, 43.4879954802422)
10809598,"NY0270091","07","BEAVER FALLS SEWER DISTRICT","BEAVER RIVER","https://extapps.dec.ny.gov/data/IF/SPDES/NY0270091",c(-75.3957858863988, 43.8997631713669)
10809644,"NY0033511","07","CASTORLAND WASTEWATER TREATMENT FAC","BLACK R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0033511",c(-75.5086857624176, 43.8940904660376)
10809844,"NY0265853","07","HAMLET OF INLET WWTF","FIFTH LK OUTLET CHANNEL","https://extapps.dec.ny.gov/data/IF/SPDES/NY0265853",c(-74.796745998667, 43.7468252580173)
10810295,"NY0257711","07","V-COPENHAGEN WWTF","LAGOON UNDERDRAIN SYSTEM DEER RIVER","https://extapps.dec.ny.gov/data/IF/SPDES/NY0257711",c(-75.6660010937011, 43.8922407289771)
10810446,"NY0020281","07","NYS GLENFIELD SEWER DIST","BLACK R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0020281",c(-75.396172662674, 43.7183440489665)
10807122,"NY0255858","07","ST REGIS FALLS WWTP","ST REGIS R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0255858",c(-74.5522771780066, 44.6759617527185)
10810457,"NY0030732","07","BRASHER FALLS SEWER DIST STP","ST REGIS R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0030732",c(-74.7734352324921, 44.8095037267401)
10804799,"NY0026557","07","PINE HILL WWTP","BIRCH CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0026557",c(-74.4637009759362, 42.122404391163)
10810215,"NY0268151","01","SHANDAKEN TUNNEL OUTLET","ESOPUS CREEK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0268151",c(-74.3636050827871, 42.1149579433107)
10804958,"NY0020621","05","V - WELLSVILLE WASTEWATER TREATMENT PLANT","GENESEE R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0020621",c(-77.9643498079344, 42.1284426631036)
10805042,"NY0084689","01","MARKIN TUBING","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0084689",c(-78.0536784613336, 42.8433229401023)
10805046,"NY0022985","05","VILLAGE OF PERRY WWTP","SILVER L OUTLET","https://extapps.dec.ny.gov/data/IF/SPDES/NY0022985",c(-77.984273279727, 42.720645450594)
10805048,"NY0021504","05","WARSAW STP","OATKA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0021504",c(-78.1360484406302, 42.7507403694943)
10805068,"NY0031844","07","BELMONT STP","GENESEE R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0031844",c(-78.0406925593759, 42.2291658886153)
10805072,"NY0024431","07","HOUGHTON SD WWTF","GENESEE R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0024431",c(-78.1439695075434, 42.4308242913664)
10805075,"NY0002518","01","Saputo Cheese USA Inc","VAN CAMPEN CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0002518",c(-78.1145955621601, 42.2136633026501)
10805295,"NY0110434","07","VILLAGE OF BERGEN SEWAGE TREATMENT PLANT","MINNY CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0110434",c(-77.9329123129573, 43.0930749400942)
10805297,"NY0078794","01","NORTERA FOODS USA INC - BERGEN FACILITY","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0078794",c(-77.9498892485713, 43.0849888183303)
10805299,"NY0160971","07","BYRON SD STP","BLACK CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0160971",c(-78.066936535227, 43.0828634832784)
10805304,"NY0000779","03","LAPP INSULATORS LLC","OATKA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0000779",c(-78.0086186170165, 42.969690655143)
10805305,"NY0030546","05","LEROY - V WWTP","OAKTA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0030546",c(-77.9854673118493, 42.9904218601303)
10805315,"NY0024449","05","AVON - V  WWTP","GENESEE R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0024449",c(-77.7550523526481, 42.9197573366651)
10805319,"NY0072079","01","JCI JONES CHEMICALS INC","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0072079",c(-77.8455684755761, 42.9777356331344)
10805320,"NY0160521","01","L C RANOUS #1","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0160521",c(-77.8691225604434, 42.9368365846594)
10805321,"NY0035432","09","CALEDONIA FISH HATCHERY","SPRING CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0035432",c(-77.8594028709535, 42.9857015739854)
10805323,"NY0030279","09","GROVELAND CORRECTIONAL FACILITY","KESHEGUA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0030279",c(-77.836091479607, 42.6828842206327)
10805324,"NY0073113","01","SENECA FOODS- LEICESTER PLANT","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0073113",c(-77.881868219136, 42.7447731098897)
10805326,"NY0022420","07","LIMA - V WWTP","SPRING BK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0022420",c(-77.6045538142142, 42.9157370725831)
10805327,"NY0032328","05","LAKEVILLE WASTEWATER TREATMENT PLANT","CONESUS CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0032328",c(-77.7090242923287, 42.845407754958)
10805360,"NY0023990","07","TOWN OF YORK WWTF","BIDWELLS CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0023990",c(-77.880020616119, 42.8396657272682)
10805361,"NY0110078","01","BUCKEYE ROCHESTER NORTH TERMINAL","BARGE CANAL","https://extapps.dec.ny.gov/data/IF/SPDES/NY0110078",c(-77.6608883491776, 43.1359357902506)
10805362,"NY0002551","01","SUNOCO PARTNERS M & T ROCHESTER TERMINAL","BARGE CANAL","https://extapps.dec.ny.gov/data/IF/SPDES/NY0002551",c(-77.675257236508, 43.1679560747123)
10805364,"NY0095389","01","BUCKEYE ROCHESTER SOUTH TERMINAL","NYS BARGE CANAL","https://extapps.dec.ny.gov/data/IF/SPDES/NY0095389",c(-77.6536238160422, 43.1279861291071)
10805366,"NY0003352","01","UNITED REFINING COMPANY CHILI AVE TERMINAL","NYS BARGE CANAL","https://extapps.dec.ny.gov/data/IF/SPDES/NY0003352",c(-77.6622405695147, 43.1375980099113)
10805368,"NY0098817","01","UNION SCRAP PROCESSING INC","BLACK CK TR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0098817",c(-77.7969136605818, 43.1073302291568)
10805371,"NY0001538","01","ROCHESTER WEST TERMINAL","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0001538",c(-77.6790555770802, 43.1636616342483)
10805380,"NY0025259","07","HONEOYE FALLS - V STP","HONEOYE CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0025259",c(-77.5926250840123, 42.9590315909206)
10805470,"NY0107255","07","HONEOYE LAKE COUNTY CONSOLIDATED SEWER DISTRICT","HONEOYE","https://extapps.dec.ny.gov/data/IF/SPDES/NY0107255",c(-77.5138257748569, 42.7915301840837)
10805474,"NY0024384","05","DANSVILLE - V WWTP","CANASERAGA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0024384",c(-77.7172611722467, 42.5654173740223)
10805475,"NY0160547","01","DANSVILLE TRAVEL CENTER","GW","https://extapps.dec.ny.gov/data/IF/SPDES/NY0160547",c(-77.7194583238545, 42.5663015242793)
10805919,"NY0228478","01","HEMLOCK LAKE - SHORELINE, OUTLET, DAM & COMPLEX","HEMLOCK OUTLET","https://extapps.dec.ny.gov/data/IF/SPDES/NY0228478",c(-77.6084981043838, 42.7750490372657)
10806079,"NY0245879","01","AMERICAN ROCK SALT - HAMPTON CORNERS","GENESEE RIVER","https://extapps.dec.ny.gov/data/IF/SPDES/NY0245879",c(-77.8375255151188, 42.7451518414984)
10806843,"NY0030741","07","MT MORRIS-V STP","CANASERAGA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0030741",c(-77.8659120225913, 42.7267323968686)
10806885,"NY0028550","01","ROCHESTER TERMINAL -  NORTH ALBANY TERMINAL CO LLC","NYS BARGE CANAL","https://extapps.dec.ny.gov/data/IF/SPDES/NY0028550",c(-77.677440017004, 43.1624416336422)
10806929,"NY0032999","07","WAYLAND - V STP","MARL BED POND TR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0032999",c(-77.5927774325512, 42.5611177984038)
10807359,"NY0269573","07","CANASERAGA WWTP","CANASERAGA CREEK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0269573",c(-77.7668413807113, 42.467236223571)
10808161,"NY0228877","01","BATAVIA BULK PLANT","HORSESHOE L TR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0228877",c(-78.1340368309649, 43.0064790862546)
10808271,"NY0247308","01","PCORE ELECTRIC COMPANY INC","OATKA CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0247308",c(-78.0066132968562, 42.9690500648495)
10808566,"NY0242896","01","ALLEGANY GENERATING STATION","GENESEE R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0242896",c(-78.0682275394735, 42.5029537871951)
10808859,"NY0246450","07","SPRINGWATER-T WWTP","SPRINGWATER","https://extapps.dec.ny.gov/data/IF/SPDES/NY0246450",c(-77.6001460616219, 42.6426834828342)
10808956,"NY0269620","01","HYLAND LANDFILL","TRIB 117-157 TO GENESEE RIVER","https://extapps.dec.ny.gov/data/IF/SPDES/NY0269620",c(-78.0064833936154, 42.2873209002798)
10809041,"NY0203858","07","TOWN OF HUME STP","GENESEE R UN TR","https://extapps.dec.ny.gov/data/IF/SPDES/NY0203858",c(-78.1039856688996, 42.4778601012187)
10809591,"NY0000167","01","RETSOF REALTY STORMWATER OUTFALLS","GENESEE R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0000167",c(-77.8541682031954, 42.7875096989604)
10809646,"NY0000418","01","MORTON SALT INC","WOLF CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0000418",c(-78.0805061860367, 42.6577470250578)
10809648,"NY0029301","07","FRIENDSHIP STP","VAN CAMPEN CK","https://extapps.dec.ny.gov/data/IF/SPDES/NY0029301",c(-78.1269108051127, 42.2098970114157)
10809659,"NY0068225","03","ARKEMA INC","GENESEE R","https://extapps.dec.ny.gov/data/IF/SPDES/NY0068225",c(-77.8432616935092, 42.8344336972768)
